ImageFile,LoopStatus,Min,Max,MeanVal,TrimMean,MedVal,StandDiv,Q1,Q3,IQR
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg16.fits,PartialLoop,59,1362,268.8150634765625,256.9071792328673,246.0,113.68131720001507,193.0,323.0,130.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg3.fits,PartialLoop,59,3207,234.17388153076172,216.66429838448187,210.0,133.12014850687353,160.0,271.0,111.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg21.fits,PartialLoop,45,1617,191.90257263183594,179.6610320624082,173.0,96.13712451014857,130.0,230.0,100.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg22.fits,PartialLoop,18,2274,126.78323745727539,112.7611913254115,105.0,96.78146504969503,70.0,155.0,85.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg14.fits,PartialLoop,71,1727,333.96081161499023,321.3500448225219,295.0,154.33886370456383,208.0,450.0,242.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg0.fits,PartialLoop,30,830,202.19397354125977,197.33399454500372,195.0,77.82953384773963,146.0,249.0,103.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg1.fits,PartialLoop,45,1829,239.08227157592773,222.50266074119284,212.0,133.18865700857154,143.0,302.0,159.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg15.fits,PartialLoop,31,3538,262.1082458496094,221.83727994049096,208.0,230.2304078787927,139.0,304.0,165.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg19.fits,PartialLoop,62,1421,314.4224319458008,295.0719449159816,291.0,144.6468204365245,223.0,361.0,138.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg23.fits,PartialLoop,43,2718,212.70758438110352,187.9432804363997,176.0,158.22166890595562,128.0,247.0,119.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg12.fits,PartialLoop,137,1276,418.4424934387207,403.72823723511794,393.0,134.16921289811424,322.0,486.0,164.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg6.fits,PartialLoop,124,1389,360.9104766845703,355.17105514123864,351.0,99.09960337128999,295.0,417.0,122.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg24.fits,PartialLoop,77,1515,268.0481376647949,254.62613248393066,247.0,111.43943564232379,192.0,318.0,126.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg25.fits,PartialLoop,62,1746,284.4346694946289,280.43419195483415,277.0,80.11699430965415,232.0,329.0,97.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg7.fits,PartialLoop,95,1715,447.1761894226074,438.8319346163383,432.0,131.65053768285958,352.0,527.0,175.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/NoLoop/subimg13.fits,PartialLoop,44,2565,220.08243560791016,203.56636117415934,194.0,128.19469225375175,147.0,261.0,114.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg4.fits,NoLoop,0,560,44.66896438598633,34.45172042190391,30.0,47.76234604214238,20.0,47.0,27.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg51.fits,NoLoop,1,650,57.92469024658203,46.97087012912701,35.0,57.73534815928499,21.0,77.0,56.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg47.fits,NoLoop,100,4057,373.36181640625,305.14425699517443,272.0,311.7024233469446,222.0,390.0,168.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg10.fits,NoLoop,64,3076,269.2689018249512,247.79060729748804,240.0,148.8908165133429,184.0,311.0,127.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg8.fits,NoLoop,42,6304,325.0087776184082,249.6243300463484,205.0,364.55409061668985,137.0,362.0,225.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg30.fits,NoLoop,35,3465,266.1179847717285,217.20203990158117,215.0,270.4649773582344,144.0,283.0,139.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg26.fits,NoLoop,57,3986,432.32055282592773,384.7972257719964,355.0,299.378702738092,250.0,522.0,272.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg27.fits,NoLoop,156,7244,597.6064987182617,488.7872837551737,440.0,491.61738385676654,364.0,605.0,241.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg31.fits,NoLoop,40,5798,399.0716896057129,285.696894848271,205.0,493.7311564951284,126.0,419.0,293.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg9.fits,NoLoop,80,3787,317.9444694519043,270.4159005512216,263.0,249.26868076122614,202.0,336.0,134.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg11.fits,NoLoop,38,4659,512.7676963806152,428.3363358065193,327.0,457.0545346899961,206.0,673.0,467.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg46.fits,NoLoop,108,3392,391.9173698425293,337.19075320910184,330.0,281.4557296955022,260.0,412.0,152.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg5.fits,NoLoop,38,2803,223.73947525024414,190.18021514810505,175.0,191.18230647876402,111.0,268.0,157.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg50.fits,NoLoop,40,1686,240.77347564697266,215.86616185698753,207.0,150.87843472482524,153.0,278.0,125.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg36.fits,NoLoop,64,2541,297.260986328125,253.97781285166607,233.0,216.2331263170313,174.0,327.0,153.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg20.fits,NoLoop,47,16175,453.1733169555664,344.850483511034,294.0,553.9241371045705,191.0,487.0,296.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg2.fits,NoLoop,47,2230,305.9390449523926,280.3249489786187,269.0,175.92885212487616,189.0,370.0,181.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg41.fits,NoLoop,48,3376,341.4332733154297,277.1958028953442,238.0,318.86442697817085,153.0,390.0,237.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg16.fits,NoLoop,60,1945,278.75635528564453,258.8605399683381,241.0,139.1998827398301,185.0,329.0,144.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg17.fits,NoLoop,45,1255,192.38726043701172,178.32698983387056,170.0,93.9490733495321,131.0,226.0,95.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg40.fits,NoLoop,31,6518,321.5435333251953,213.2586879398806,170.0,471.226943661488,118.0,285.0,167.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg3.fits,NoLoop,36,850,200.05033493041992,194.88120601193995,192.0,78.81186091504922,142.0,248.0,106.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg21.fits,NoLoop,49,4985,289.0153579711914,240.40108050887866,230.0,297.6477695499349,160.0,321.0,161.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg37.fits,NoLoop,67,1639,289.38823318481445,258.2610911899903,238.0,173.93795467451972,178.0,334.0,156.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg22.fits,NoLoop,72,7404,426.0110893249512,332.86611417345364,294.0,448.0610486514605,219.0,440.0,221.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg34.fits,NoLoop,39,5241,329.76525497436523,211.4907493944191,180.0,494.38478626734275,114.0,313.0,199.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg18.fits,NoLoop,55,2623,252.45241165161133,223.69857330866506,208.0,165.07375948531373,159.0,289.0,130.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg38.fits,NoLoop,39,5371,308.5959777832031,250.0152968776822,228.0,274.39426110997005,160.0,337.0,177.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg14.fits,NoLoop,13,2306,126.8372573852539,103.79752617826013,85.0,117.46817028757401,60.0,151.0,91.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg43.fits,NoLoop,24,9017,210.49518585205078,186.86253790840948,184.0,190.24553852564148,128.0,245.0,117.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg0.fits,NoLoop,30,2518,260.08077239990234,216.4205687691926,202.0,228.74106060738106,144.0,288.0,144.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg1.fits,NoLoop,9,2306,107.46432113647461,92.59582482976978,79.0,82.84565296488323,58.0,127.0,69.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg42.fits,NoLoop,62,3161,324.41542053222656,281.84426080985713,259.0,249.4665589383968,177.0,387.0,210.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg15.fits,NoLoop,96,5073,410.1311721801758,323.00598905186064,289.0,387.18102121181033,224.0,400.0,176.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg39.fits,NoLoop,96,4422,436.5130271911621,365.6042600469206,322.0,339.1461055022606,248.0,473.0,225.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg19.fits,NoLoop,61,5169,371.26335525512695,287.36432604093153,265.0,403.4997309656359,193.0,378.0,185.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg35.fits,NoLoop,36,7200,372.9105987548828,268.04806023384003,230.0,473.55360679856904,141.0,384.0,243.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg23.fits,NoLoop,58,3286,217.43989944458008,199.8562770604055,194.0,128.82914726434876,155.0,245.0,90.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg28.fits,NoLoop,66,4734,384.2439994812012,297.5975223635774,266.0,398.5862771024896,201.0,380.0,179.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg12.fits,NoLoop,78,3949,481.35736083984375,432.93466879017336,400.0,310.1153973584498,274.0,600.0,326.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg45.fits,NoLoop,65,14736,309.83313369750977,221.28124701977913,211.0,367.1247063981673,168.0,271.0,103.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg6.fits,NoLoop,80,2675,477.3910713195801,454.160288199279,449.0,250.6381962717974,290.0,613.0,323.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg24.fits,NoLoop,53,5864,461.736759185791,356.5412653302562,306.0,503.591663746777,196.0,500.0,304.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg32.fits,NoLoop,67,3845,477.53499603271484,420.99016288695185,381.0,330.1202938632495,258.0,589.0,331.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg49.fits,NoLoop,78,2179,369.3736038208008,349.94503519044804,344.0,169.76678842202875,264.0,432.0,168.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg48.fits,NoLoop,66,4661,494.4574508666992,418.73581414865816,383.0,397.1047895649746,258.0,567.0,309.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg33.fits,NoLoop,73,2057,317.39445877075195,279.17177516260085,259.0,191.01151903968713,208.0,338.0,130.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg25.fits,NoLoop,66,5533,360.14705657958984,279.1147027408495,244.0,375.5483314454183,182.0,368.0,186.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg7.fits,NoLoop,90,2235,373.61850357055664,355.98738293692423,343.0,165.5088677083336,262.0,450.0,188.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg52.fits,NoLoop,31,5977,312.2192687988281,237.86938526388067,228.0,404.20488494547436,140.0,331.0,191.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg44.fits,NoLoop,39,1826,247.68793487548828,227.48344427702227,212.0,132.75482636207968,159.0,297.0,138.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg13.fits,NoLoop,32,6092,234.9392852783203,148.0075244616529,134.0,438.113209223381,95.0,199.0,104.0
/Users/synergy/Documents/Research/AstroPySunPy/Sample Analysis/Data/PartialLoop/subimg29.fits,NoLoop,66,2591,318.29698944091797,288.76767628602494,269.0,184.96183843274892,203.0,372.0,169.0
